Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_445.jpg;0;0;0;3.174781;105.6362;91.16953;0.8473878;35.23206;0.361665
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_512.jpg;0;0;0;3.164863;105.8412;91.31258;0.6678491;35.21072;0.4413682
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_579.jpg;0;0;0;3.154862;105.9938;91.41922;0.4993254;35.19747;0.4849106
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_645.jpg;0;0;0;3.141318;106.1456;91.52544;0.3141049;35.18787;0.5176023
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_714.jpg;0;0;0;3.131024;106.3469;91.6666;0.05768078;35.18131;0.5478346
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_780.jpg;0;0;0;3.12064;106.4976;91.77219;359.8873;35.17323;0.5439455
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_846.jpg;0;0;0;3.106072;106.6485;91.87762;359.7546;35.15745;0.4996499
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_914.jpg;0;0;0;3.095231;106.8489;92.01813;359.6015;35.14437;0.4229376
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_980.jpg;0;0;0;3.084332;106.9989;92.12334;359.5064;35.13686;0.3509485
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_047.jpg;0;0;0;3.069825;107.1485;92.22845;359.4284;35.13178;0.2716443
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_110.jpg;0;0;0;3.059336;107.3471;92.36827;359.3326;35.13114;0.1725433
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_181.jpg;0;0;0;3.048431;107.4962;92.47278;359.2954;35.12125;0.07434999
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_247.jpg;0;0;0;3.034182;107.6445;92.57723;359.261;35.11961;359.9922
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_316.jpg;0;0;0;3.023754;107.8417;92.71665;359.2476;35.13062;359.923
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_376.jpg;0;0;0;3.012201;107.9894;92.82082;359.2572;35.13586;359.8864
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_445.jpg;0;0;0;2.99842;108.1366;92.92455;359.2673;35.13733;359.8534
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_510.jpg;0;0;0;2.987267;108.3323;93.063;359.3186;35.14991;359.8557
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_580.jpg;0;0;0;2.977025;108.4786;93.16611;359.3516;35.1515;359.8542
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_647.jpg;0;0;0;2.963516;108.6244;93.26881;359.3795;35.15192;359.8553
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_714.jpg;0;0;0;2.953443;108.8178;93.40513;359.4087;35.15208;359.8612
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_779.jpg;0;0;0;2.943094;108.9624;93.50732;359.4466;35.16027;359.8913
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_846.jpg;0;0;0;2.929511;109.1065;93.60886;359.4756;35.16186;359.9143
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_912.jpg;0;0;0;2.919592;109.2977;93.74356;359.5018;35.16219;359.9436
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_42_979.jpg;0;0;0;2.909715;109.4404;93.84409;359.5127;35.16218;359.9645
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_045.jpg;0;0;0;2.896599;109.5826;93.94419;359.5166;35.16213;359.9842
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_110.jpg;0;0;0;2.886796;109.7713;94.07731;359.5245;35.16724;0.02125718
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_177.jpg;0;0;0;2.876591;109.9123;94.17667;359.5308;35.16927;0.04923969
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_246.jpg;0;0;0;2.863399;110.0531;94.27552;359.5443;35.16359;0.05741515
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_314.jpg;0;0;0;2.853454;110.2399;94.40695;359.5564;35.16117;0.06634863
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_381.jpg;0;0.1003421;0;2.843808;110.3793;94.50513;359.5592;35.16085;0.07157851
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_447.jpg;0;0.3001059;0;2.839092;110.5192;94.60334;359.5883;35.15465;0.05764915
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_511.jpg;0;0.5008154;0;2.846509;110.7067;94.73535;359.6674;35.15337;0.04585618
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_577.jpg;0;0.6906618;0;2.862111;110.849;94.83556;359.774;35.15318;0.03717696
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_43_646.jpg;0;0.8982235;0;2.897006;110.9934;94.93725;359.9324;35.15311;0.02856806
